GRD_CD,year,grade_id
PD,2016,1
PD1,2016,2
D1,2016,3
BP,2016,4
BOP1,2016,5
OF1,2016,6
BOPL,2016,7
BOP,2016,8
BOPSM,2016,9
DUST,2016,10
CD,2016,11
CD1,2016,12
BP1,2016,13
PF,2016,14
OF,2016,15
BPS,2016,16
D,2016,17
PF1,2016,18
BOPSM1,2016,19
BPSM1,2016,20
BPSM,2016,21
OD,2016,22
DUST1,2016,23
MIXEDTEA,2016,24
BPS1,2016,25
OD1,2016,26
OCD,2016,27
MIXED TEA,2016,28
RD,2016,29
OPD,2016,30
GDUST,2016,31
BOPL1,2016,32
BOP GOLD,2016,33
OF GOLD,2016,34
BOPSM GOLD,2016,35
DUST GOLD),2016,36
BP GOLD,2016,37
PD GOLD,2016,38
FOP,2016,39
STGBOP1(SPL),2016,40
STGBOP1,2016,41
TGFOP,2016,42
TGBOP(CL),2016,43
TFBOP,2016,44
GFBOP,2016,45
BOP1(O),2016,46
TGBOP,2016,47
FBOP1,2016,48
STGFOP1S,2016,49
FBOP,2016,50
TGFBOP,2016,51
GFOP,2016,52
FOF,2016,53
GBOP,2016,54
STGFOP1,2016,55
RD1,2016,56
TGFOP1,2016,57
GTGFOP1,2016,58
FTGFOP1,2016,59
FBOP(CL),2016,60
FTGBOP(CLONA,2016,61
GBOP(SM),2016,62
TGFOP(S),2016,63
TGBOP(CLONAL,2016,64
FTGFOP1FUSIO,2016,65
GTGFOP,2016,66
BOPF,2016,67
SUPER TWIST,2016,68
OBPS,2016,69
GOF,2016,70
FTGFOP1(CL),2016,71
TGBOP1,2016,72
SFTGFOP1(SPL,2016,73
TGOF(CLONAL),2016,74
TGBOP1(CLONA,2016,75
TGOF,2016,76
SFTGFOP1(CH),2016,77
BOPF(SPL),2016,78
TGFBOP(CLONA,2016,79
FTGFOP1(SPL),2016,80
SFTGFOP1(CL),2016,81
SFTGFOP1,2016,82
SFTGFOP1(CHI,2016,83
SFTGFOP1CLAS,2016,84
SFTGFOP1CHFL,2016,85
TGOF MUSK,2016,86
TOF,2016,87
GFBOPS,2016,88
BPS(CHINA),2016,89
GFTGFOP,2016,90
TGOF(CH)MUSK,2016,91
FTGFOP1(CHIN,2016,92
FTGFOP1 CL T,2016,93
FTGFOP1(CL)M,2016,94
TGBOP1(PREMI,2016,95
TGBOP(CH)SPL,2016,96
TGBOP(CHINA),2016,97
STGFOP,2016,98
TGFBOP(CL),2016,99
GFTGFOP1,2016,100
TGOF1,2016,101
STGFOP1(SPL),2016,102
SFTGFOP1(MUS,2016,103
GBOP1,2016,104
LEAF,2016,105
BROKEN,2016,106
BP(CLONAL),2016,107
STGFOP1(S),2016,108
GFBOP(S),2016,109
FTGBOP,2016,110
TGBOP1(SPL),2016,111
TGFOP1(SPL),2016,112
BPS(O),2016,113
GTGFOP1(CL),2016,114
GFOP1,2016,115
GFOP(S),2016,116
D(F),2016,117
TGBOP(MUSK),2016,118
TGBOP1(CHINA,2016,119
FTGBOP(CL),2016,120
GOF(CL),2016,121
FTGFOP,2016,122
TGBOP1(C,2016,123
BPS(CLO),2016,124
GFOP(CLONAL),2016,125
OPD1,2016,126
TGOF(CHINA),2016,127
FBOP(S),2016,128
TGFOPS,2016,129
FBOPS,2016,130
TGBOP(SPL),2016,131
TGFOP(CLONAL,2016,132
FOF(CLONAL),2016,133
FTGFOP(CLONA,2016,134
SFTGBOP1,2016,135
GOF1,2016,136
SFTGFOP1(FLY,2016,137
SFTGFOP1(TIP,2016,138
FTGFOP1SPLTI,2016,139
FTGFOP1MOONL,2016,140
GTGBOP(CLONA,2016,141
SUPER FINE,2016,142
GTGFBOP,2016,143
SFTGFOP1FLOR,2016,144
STGFOP1(,2016,145
SFTGFOP1TIPM,2016,146
SFTGFOP1KKRA,2016,147
TGFOP1(CL),2016,148
FTGFOP1(CL,2016,149
GOF(CLONAL),2016,150
FOP(OOLONG),2016,151
SFTGFOP1WRYM,2016,152
TGFBOP(SPL,2016,153
STGBOP1(CL),2016,154
SFTGFOP1CLTH,2016,155
FBOP(SPECIAL,2016,156
OP,2016,157
GOF(CH),2016,158
TGBOP(CLO)TI,2016,159
TGOF(PREMIUM,2016,160
FOPGOLD,2016,161
GFBOP(SPL),2016,162
TGFBOP(SPL),2016,163
FBOP(CL)SPL,2016,164
FTGFBOP(CL,2016,165
FTGFOP(CL),2016,166
BOP(O),2016,167
GOF(TIPPY),2016,168
TGFOP(TIPPY),2016,169
GFOP(SPL),2016,170
FTGFOP1(CH)F,2016,171
FTGFOP1(CL)S,2016,172
GOF(CH)SPL,2016,173
SFTGFOP1CLQU,2016,174
FTGFOP1(WIRY,2016,175
FTGFOP1(FINE,2016,176
BPS(SPL),2016,177
SFTGFOP1SUPR,2016,178
TGFOP(CL),2016,179
SFTGFOP1(WIR,2016,180
STGOF,2016,181
TGBOP1(MUSK),2016,182
FTGFOP1(HF),2016,183
FTGOF(CHINA),2016,184
FTGFOP1BLKTH,2016,185
TGFOP1(CLONA,2016,186
FBOP(TIPPY),2016,187
STGFOP(SPL),2016,188
FTGFOP1(,2016,189
GBOP(TIPPY),2016,190
CHURA,2016,191
BOPS,2016,192
GFBOP(TIPY),2016,193
SFTGFOP1CLAW,2016,194
FTGFOP1(MUSC,2016,195
FTGFOP1(CH)M,2016,196
BOPF1,2016,197
FOF(CHINA),2016,198
SFTGFOP1(GRE,2016,199
FTGFBOP(CL),2016,200
GBOPF,2016,201
GBOP(SPL),2016,202
TGFBOP1,2016,203
FFTGFOP1,2016,204
GTGFBOP(CLON,2016,205
TGOF(CL),2016,206
SFTGFOP1TIPY,2016,207
TGOF(CL)MUSK,2016,208
GBOP(CL),2016,209
FTGFOP1(CH),2016,210
FTGFOP1(CL)G,2016,211
FTGFOP1CLTPM,2016,212
FTGFOP1 CLAS,2016,213
SFTGFOP,2016,214
FOP1,2016,215
FTGFOP1GREEN,2016,216
OOLONG,2016,217
FTGFOP1CLTIP,2016,218
CHD1,2016,219
GFBOP(CL),2016,220
STGBOP1(HF),2016,221
FTGFOP1(EXCE,2016,222
SFTGFOP1CLMU,2016,223
FANNINGS,2016,224
FTGFOP1CLEMP,2016,225
FTGFOP1CHSPL,2016,226
FTGFOP(MUSK),2016,227
OP1,2016,228
TGFBOP(TIPY),2016,229
FTGBOP1(CL),2016,230
OOLONG TEA,2016,231
OPD(CLONAL),2016,232
STGBOP1(CL)M,2016,233
FTGOF(SPL)CH,2016,234
TGFOP1(TIPPY,2016,235
FTGOF,2016,236
GBOP(S),2016,237
TGOF(TIPPY,2016,238
SFTGFOP1VINF,2016,239
SBP,2016,240
SFTGFOP1CLDE,2016,241
SFTGFOP1FLYM,2016,242
FTGFOP(SPL),2016,243
TOF(CHINA),2016,244
WHITE TEA,2016,245
SFTGFOP(CL),2016,246
FTGFOP1CHMUS,2016,247
STGBOP1(MUSK,2016,248
FBOP(C),2016,249
TFBOP(CLONAL,2016,250
FINE,2016,251
BPS(CH),2016,252
FTGFOP1(CL)T,2016,253
FTGFOP1(CLON,2016,254
TGFOP(SPL-,2016,255
GOF(GT),2016,256
FTGFOP1CHFLY,2016,257
TGOF CL,2016,258
TGBOP CL,2016,259
TGBOP(CL)SPL,2016,260
SFTGFOP1(G),2016,261
GBOP(CLONAL),2016,262
GTGBOP,2016,263
MOGRA I,2016,264
LACHHA,2016,265
SFTGFOP1(S),2016,266
STGBOP1FLYMU,2016,267
TGOF(SPL),2016,268
SFTGFOP1 TIP,2016,269
OF(GREEN),2016,270
GFOP1(TIPPY),2016,271
GTGOF,2016,272
SFTGFOP1CHSU,2016,273
SFTGFOP1TIPC,2016,274
STGFOP1(SP,2016,275
TGFOP(SPL),2016,276
GFOP(CL),2016,277
FTGFOP1TIPSP,2016,278
STGOF(SPL),2016,279
STGFOP1(TIPP,2016,280
BROKEN(SM),2016,281
STGFOP(CL),2016,282
FTGFOP1(G/,2016,283
STGBOP1(GT),2016,284
MASDANA,2016,285
SFTGFOP1(TP),2016,286
SFTGFOP1CLSU,2016,287
FTGFOP(G/T,2016,288
SFTGFOP1EXOT,2016,289
TGBOP1(GT),2016,290
STGFOP(SPL,2016,291
SFTGFOP1CLGO,2016,292
HYSON,2016,293
EUPHORIA,2016,294
TFBOP(SPECIA,2016,295
FOF(CLONAL,2016,296
SFTGFOP1CLAU,2016,297
SFTGFOP1AUT,2016,298
GREEN TEA,2016,299
FTGFOP1( G,2016,300
BPS G/TEA,2016,301
TGOF G/TEA,2016,302
FTGFOP G/T,2016,303
TGBOP G/TE,2016,304
GBOP G/TEA,2016,305
TGOF(GT),2016,306
SFTGFOP1CH(G,2016,307
SFTGFOP1CHCS,2016,308
SFTGFOP1AUTC,2016,309
SFTGFOP1CHCL,2016,310
SFTGFOP1AUTT,2016,311
FTGFOP1(GT),2016,312
GSFTGFOP1,2016,313
TGOF(AUTM),2016,314
SFTGFOP1HAND,2016,315
SFTGFOP1WIRY,2016,316
SFTGFOP1AUTM,2016,317
FTGOF(CL),2016,318
TGOF1 G/TE,2016,319
TGBOP1 G/T,2016,320
CHU,2016,321
SFTGFOP1FLOW,2016,322
SOMEE,2016,323
MI(SM),2016,324
MIRCHIMONGRA,2016,325
GTGFOP(CL),2016,326
TGOF(CH)AUT,2016,327
OF(GT),2016,328
FTGFOP1KANCH,2016,329
TGOFKANCHENO,2016,330
FTGFOP1UPCHA,2016,331
SFTGFOP1GREE,2016,332
MONGRA II SE,2016,333
BPL,2016,334
TWENKEYGOLD,2016,335
BPS(CLONAL),2016,336
SFTGFOP1SUNG,2016,337
TFBOP(TIPPY),2016,338
TGBOP AUT,2016,339
MONGRA ISEMI,2016,340
MASDANA FINE,2016,341
SFTGFOP1HIME,2016,342
TGBOP(CH)AUT,2016,343
SFTGFOP1CHDE,2016,344
BPS(CL)(O),2016,345
FTGFOP1 VINT,2016,346
BPS(GREEN),2016,347
GFTGOF,2016,348
FTGFOP1(CL)A,2016,349
PD(FINE),2016,350
FTGFOP(S),2016,351
FTGFOP1 AUT,2016,352
SOWMEEGOLD,2016,353
FOPTHUNDER,2016,354
TOF(GT),2016,355
SFTGFOP1VINS,2016,356
TGBOPMUSCATE,2016,357
FBOP(SPL),2016,358
STGBOP(AUT),2016,359
GOF GT,2016,360
SFTGFOP1CLCL,2016,361
SFTGFOP1CLFL,2016,362
GOF(CHINA)SP,2016,363
FTGFOP1CLDEL,2016,364
FOP(SPL),2016,365
FTGFOP(SPL,2016,366
TGFOP1(SPL,2016,367
TGOF(CH),2016,368
FTGFOP1(OOLO,2016,369
TGFBOP1(,2016,370
SFTGFOP1HF,2016,371
BOP(O)SPL,2016,372
SFTGFOP1(VIN,2016,373
FTGFOP1(CH,2016,374
GFBOP1,2016,375
TGBOP(SPL)CL,2016,376
SFTGBOP,2016,377
FTGFOP1CLCLA,2016,378
GFBOP(SPL)CL,2016,379
OF(O),2016,380
SFTGFOP1HIMM,2016,381
FTGFOP1ESQUI,2016,382
STGBOP1(CL)S,2016,383
SFTGFOP1ROAS,2016,384
GOF(MUSCAT),2016,385
GTGFOP(SPL),2016,386
FTGFOP1(GT)T,2016,387
FTGFOP1CHDEL,2016,388
FTGFOP1ENIGM,2016,389
STGBOP(CH),2016,390
SOF,2016,391
STGFOP1(CLON,2016,392
FTGFOP1CLEUP,2016,393
SFTGFOP1CLAM,2016,394
FTGFOP(GT),2016,395
TGBOP(G/TEA),2016,396
BPS(G/TEA),2016,397
FGTGFOP,2016,398
FTGFOP1CLOOL,2016,399
OCD1,2016,400
FTGOP,2016,401
FBOP CL,2016,402
FTGBOP1,2016,403
FTGFOP1CL,2016,404
TGOF(CH)GT,2016,405
SFTGFOP1TIPP,2016,406
GFBOP(CLONAL,2016,407
BPS(HF),2016,408
BPS(MUSK),2016,409
TGOF(FLOWRY),2016,410
GOF(HF),2016,411
FTGFOP1SPLEN,2016,412
FTGFOP1SPEND,2016,413
FTGFOP1(CH)T,2016,414
FOF(SPL),2016,415
FTGFOP1EUPHO,2016,416
OBOP,2016,417
FTGFOP1TIPPY,2016,418
TGBOP1CHMUSK,2016,419
FTGFOP1(CH)C,2016,420
SFTGFOP1CH M,2016,421
PEKOE,2016,422
FOPSUPERGOLD,2016,423
FTGFOP(HF),2016,424
STGOF(HF),2016,425
OF(S),2016,426
FBOP(SP),2016,427
FTGFOP1 SUPR,2016,428
WONDERMUSCAT,2016,429
FTGFOP1(PREM,2016,430
SFTGFOP1DELI,2016,431
TOF(PREMIUM),2016,432
STGBOP,2016,433
FTGFOP1TP(WI,2016,434
SFTGFOP1FLYS,2016,435
FOF(GREEN),2016,436
TGBOP(TIPY),2016,437
GFOP1(CLONAL,2016,438
TGBOP(G/T),2016,439
TGOF(G/T),2016,440
FBOP(CLONAL),2016,441
SFTGFOP1AUTF,2016,442
FTGFOP1SPLAU,2016,443
SFTGFOP1MONS,2016,444
MOGRA(O),2016,445
SFTGFOP(CHIN,2016,446
GTGBOP(CL),2016,447
FTGFOP1TPCLA,2016,448
FTGFOP1(TIPP,2016,449
FBOP(SPL)CL,2016,450
GBOP(G/T),2016,451
SFTGFOP1GOLD,2016,452
PF(CLONAL),2016,453
GBOP(SPL)CLO,2016,454
MOGRA,2016,455
FOP(CLONAL),2016,456
GTII,2016,457
MOGRAII,2016,458
STGFOP(TIPPY,2016,459
LEAF NEW,2016,460
FTGFOP1AUTCH,2016,461
TGBOP1(AUT),2016,462
OF(CHINA),2016,463
FTGOF AUT,2016,464
TGBOP(TIPP,2016,465
SFTGFOP(,2016,466
FTGFOP1CLASS,2016,467
BPS(AUT),2016,468
GFOPS,2016,469
FOF(GT),2016,470
STGFOP(S),2016,471
FTGFOP1CHCLA,2016,472
TFTGFOP1,2016,473
YELLOWTEA,2016,474
